Trat,Rep,Local,kg/ha,US$/kg,US$/ha,IQS,Talo %,TotalSugar,AlcaloidesTotais
11,3,E10,5296,2.93,15502.96,57.4,33.5,12.7,3.81
12,1,E10,4777,3.03,14476.31,68.1,29.9,12.2,3.01
12,2,E10,4694,2.78,13063.1,61,32.2,8.4,3.38
12,3,E10,4668,2.8,13071.17,66.6,32.9,8.1,3.59
13,1,E10,5256,3.16,16634.93,71.7,33.7,9.9,4.27
13,2,E10,5221,3.26,17005.42,72.5,31.9,11.4,3.84
13,3,E10,5127,3.07,15725.61,67.5,33.2,11.4,3.99
14,1,E10,4864,2.89,14038.79,67.3,31.3,11.5,3.6
14,2,E10,5318,3.1,16493.72,68.7,30.1,12.7,3.45
14,3,E10,5038,2.83,14245.37,65.9,32.7,9.6,3.52
1,1,E11,4448,3.12,13881.78,71.9,34.3,9.2,3.42
1,2,E11,4488,2.87,12877.52,63.4,34.5,5.9,3.59
1,3,E11,4568,2.93,13397.68,68.3,34.3,8.4,3.55
2,1,E11,4068,2.99,12177.79,62.8,29.8,8,3.75
2,2,E11,4123,2.88,11854.24,62.6,29.1,8.2,3.82
2,3,E11,4518,2.98,13481.97,66.5,28.8,7.5,4.16
3,1,E11,4623,3.3,15245.12,76.8,32.5,8.2,4.96
3,2,E11,4111,3.05,12549.14,68.8,33.7,7.4,4.05
3,3,E11,4573,3.25,14869.34,73,34.3,8.3,4.47
4,1,E11,4073,3.01,12277.02,68.2,28.8,11.3,4.48
4,2,E11,4351,3.21,13982.75,71.2,29.8,8,4.32
4,3,E11,4003,3.06,12246.15,67.8,31,9.3,4.48
5,1,E11,3805,2.96,11274.97,62,30.4,10.6,3.73
5,2,E11,4338,3.18,13778.33,72.5,30.4,11.6,4.12
5,3,E11,4506,3.54,15972.06,80.8,30.4,12.1,3.66
6,1,E11,4773,3.39,16171.41,80,31.6,10.5,3.82
6,2,E11,4232,3.08,13033.44,65.8,31.2,12.4,3.73
6,3,E11,4627,3.37,15605.13,75.6,31.1,10.3,3.64
7,1,E11,4475,2.64,11828.98,56.9,33.8,6.2,4.7
7,2,E11,4629,3.07,14203.22,71.1,34.8,6.2,5.08
7,3,E11,3783,3.02,11432.51,67.9,34.1,7.9,4.61
8,1,E11,4398,3.16,13903.79,72.4,33.3,9.6,4.09
