Trat,Rep,Local,kg/ha,US$/kg,US$/ha,IQS,Talo %,TotalSugar,AlcaloidesTotais
5,1,E5,3593,3.31,11904.43,67.6,28.3,15.3,3.05
5,2,E5,3870,3.03,11723.38,69.6,31.2,11.5,3.06
5,3,E5,3782,3.53,13356.26,79.3,30.9,12.8,3.29
6,1,E5,3507,3.14,11010.13,64,29.4,14.6,3.04
6,2,E5,3605,3.12,11244.51,67.8,29.1,15.6,3.02
6,3,E5,4083,2.99,12216.19,62,31.2,13.9,2.79
7,1,E5,3123,3.04,9508.22,69.7,29.9,12.3,3.83
7,2,E5,3595,3.07,11038.57,62.2,29.6,14.6,3.42
7,3,E5,3073,3.11,9549.95,67.5,30.2,13,3.67
8,1,E5,3477,3.11,10821.59,62.9,29.7,14.6,3.16
8,2,E5,3294,3.28,10787.96,72.5,32,13.1,4.02
8,3,E5,3696,3.56,13139.65,78.2,31.2,14.2,3.86
9,1,E5,3549,3.3,11723.8,73.4,32.2,11,3.12
9,2,E5,3395,3.14,10664.02,64.5,28.4,15.7,2.75
9,3,E5,4202,3.3,13870.75,72.6,28.3,17.5,2.35
10,1,E5,2573,3.01,7742.6,68.2,27.9,15.3,2.53
10,2,E5,2870,2.96,8481.24,62.5,28.2,14,2.85
10,3,E5,3174,3.26,10346.55,75.8,28.9,14,2.85
11,1,E5,3496,3.34,11677.99,77.9,29.8,12.8,3.33
11,2,E5,4131,3.14,12955.03,62.4,28.6,16,3.56
11,3,E5,4238,2.99,12665.12,61.6,31.7,14.9,2.72
12,1,E5,2768,2.78,7696.92,61.1,29.7,9.7,2.43
12,2,E5,3598,2.99,10748.19,63.7,28.4,15.8,2.84
12,3,E5,3409,2.71,9241.86,54.9,27.7,13.5,2.89
13,1,E5,2913,2.91,8466.24,64.6,28.9,14.3,3.41
13,2,E5,3597,3.48,12515.26,76.2,31.7,14.9,3.07
13,3,E5,3358,3.43,11520.79,79.7,31.6,13.6,3.27
14,1,E5,2685,3.29,8838.27,75.5,30.2,11.4,3.86
14,2,E5,3873,2.85,11040.52,55.7,27.9,14.3,2.96
14,3,E5,3557,3.42,12177.26,75.5,30.6,14.5,3.3
1,1,E6,3927,2.73,10714.7,61.6,30.69,6.3,3.29
1,2,E6,4190,2.19,9185.39,46.7,31.84,5.9,3.33
1,3,E6,3708,2.55,9467.19,51.5,30.05,8.1,3.47
2,1,E6,4085,2.54,10383.05,63,29.9,6.4,2.88
2,2,E6,4137,2.6,10753.21,58.6,29.47,7.5,3.15
2,3,E6,4627,2.25,10388.67,46.7,31.22,9.3,3.13
3,1,E6,4235,2.52,10687.99,54.5,32.37,6.5,4.14
3,2,E6,3958,2.68,10600.17,56.3,33.33,8.5,4.29
3,3,E6,4019,2.67,10723.26,57.8,31.68,9.3,3.74
4,1,E6,4204,2.24,9399.13,51.4,29.33,6.4,3.83
4,2,E6,4079,2.71,11061.42,59.2,31.43,8.7,2.92
4,3,E6,4041,2.33,9401.44,50.6,28.99,9.9,3.72
5,1,E6,3610,2.88,10397.63,65.3,33.33,8,3.04
5,2,E6,3711,3.33,12358.98,76.6,34.78,7.5,3.09
5,3,E6,3253,2.84,9226.02,59.2,29.61,12.8,3.24
6,1,E6,3692,3.14,11589.75,73.4,33.16,9.7,3.17
6,2,E6,3839,2.99,11491.92,65.5,33.17,8.8,3.35
6,3,E6,3556,2.59,9224.83,55.1,30.92,10.6,3.21
7,1,E6,3845,2.74,10517.73,57.6,33,7.1,3.87
7,2,E6,4538,2.74,12428.63,59,35.03,7.4,3.9
7,3,E6,3814,2.27,8652.81,46.4,32.2,7.6,3.73
8,1,E6,3894,2.5,9742.57,56.1,32.18,7,3.59
8,2,E6,3883,2.36,9145.21,46.7,34.78,6.8,4.02
8,3,E6,3443,2.63,9039.4,58.9,34.47,6.7,3.89
9,1,E6,3617,2.72,9842.32,64,34.31,5.4,3.28
9,2,E6,3501,2.48,8691.69,53.3,,,
9,3,E6,3559,2.6,9267.005,58.65,34.31,5.4,3.28
10,1,E6,3890,2.45,9544.85,53,34.63,6,3.4
10,2,E6,3841,2.5,9605.68,56.7,33.82,6.3,2.83
10,3,E6,3902,2.31,9001.6,48.2,32.37,7.7,3.04
11,1,E6,4026,2.46,9884.35,55.1,36.27,6.3,3.27
11,2,E6,3628,2.78,10073.77,53.7,33.82,7.7,3.24
11,3,E6,3464,2.3,7968.64,48.2,35.75,8,3.96
12,1,E6,4043,2.14,8661.96,47.4,33.97,5.8,3.92
12,2,E6,3434,2.35,8068.77,49.3,30.62,6.2,2.86
12,3,E6,3313,2.22,7351.02,46.3,32.37,4.8,3.87
13,1,E6,3780,2.6,9830.78,55,33.97,5.8,2.94
